Fecha,Local,Categoría,Producto,Cantidad,Precio,Venta,Tipo de pago
2025-06-09,SJL,Queue,Tajadas de queue,100,5.0,500.0,Efectivo
2025-06-09,Carapongo,Queue,Queue especial,2,7.0,14.0,Yape
